segment,keyword_set_id,source,display_file
A / Broad,ks_0001,historical,ks_0001.csv
B / Broad,ks_0002,historical,ks_0002.csv
A / Phrase; Exact,ks_0005,historical,ks_0005.csv
A / Phrase; Exact,ks_0006,historical,ks_0006.csv
A / Phrase; Exact,ks_0013,historical,ks_0013.csv
A / Phrase; Exact,ks_0014,historical,ks_0014.csv
A / Phrase; Exact,ks_0015,historical,ks_0015.csv
B / Phrase; Exact,ks_0007,historical,ks_0007.csv
B / Phrase; Exact,ks_0008,historical,ks_0008.csv
B / Phrase; Exact,ks_0017,historical,ks_0017.csv
B / Phrase; Exact,ks_0018,historical,ks_0018.csv
B / Phrase; Exact,ks_0019,historical,ks_0019.csv
USA / Broad,ks_0009,historical,ks_0009.csv
USA / Phrase; Exact,ks_0010,historical,ks_0010.csv
USA / Phrase; Exact,ks_0023,historical,ks_0023.csv
USA / Phrase; Exact,ks_0024,historical,ks_0024.csv
USA / Phrase; Exact,ks_0025,historical,ks_0025.csv
A / Broad,synthetic_A_Broad_allowlist_n10_1,synthetic_allowlist_n10,synthetic_A_Broad_allowlist_n10_1.csv
A / Broad,synthetic_A_Broad_top_conv_n10_2,synthetic_top_conv_n10,synthetic_A_Broad_top_conv_n10_2.csv
A / Broad,synthetic_A_Broad_semantic_n10_3,synthetic_semantic_n10,synthetic_A_Broad_semantic_n10_3.csv
A / Broad,synthetic_A_Broad_allowlist_n20_4,synthetic_allowlist_n20,synthetic_A_Broad_allowlist_n20_4.csv
A / Broad,synthetic_A_Broad_top_conv_n20_5,synthetic_top_conv_n20,synthetic_A_Broad_top_conv_n20_5.csv
A / Broad,synthetic_A_Broad_semantic_n20_6,synthetic_semantic_n20,synthetic_A_Broad_semantic_n20_6.csv
A / Broad,synthetic_A_Broad_allowlist_n40_7,synthetic_allowlist_n40,synthetic_A_Broad_allowlist_n40_7.csv
A / Broad,synthetic_A_Broad_top_conv_n40_8,synthetic_top_conv_n40,synthetic_A_Broad_top_conv_n40_8.csv
A / Broad,synthetic_A_Broad_semantic_n40_9,synthetic_semantic_n40,synthetic_A_Broad_semantic_n40_9.csv
B / Broad,synthetic_B_Broad_allowlist_n10_10,synthetic_allowlist_n10,synthetic_B_Broad_allowlist_n10_10.csv
B / Broad,synthetic_B_Broad_top_conv_n10_11,synthetic_top_conv_n10,synthetic_B_Broad_top_conv_n10_11.csv
